TURNO	Data e Hora	Responsável	Doca 19	Doca 20	Doca 21	Doca 22	Doca 23	Doca 24	Doca 25	Doca 26	Agendadas 	Recebidas	Back log 	Back Log	Recebidas 	Lançadas  	Pendetes de TU	NF Pendentes 	Qualidade solicitados 	Qualidade atendidos 	Wave em separação	Wave em Pesagem	Wave na Eclusa	Waves Separadas	Wavem em fila	Itens contados	Itens Recontados	Observações
TURNO 1	18/08/2025	Marcior	0	0	0	0	Liberado acesso 	0	0	0	3	1 liberada 	1	0	7	6	1	3 com chamado 	12	12	0	2915	2911	2915	0	4	2	Atendimento pesagem  Guarda  Guarda devolução  Baixa de ibcs área externa  Movimentacao de paletes da rua 6 para eclusa  
TURNO 2	18/08/2025	Daise Farias T_randstad	0	0	0	0	0	0	0	0	3	2	1 No Show (SYV0J37)	10	1	11	0	04 (Chamados abertos)	8	8	2921 Hidro		2912	2917 Cremes (Rua 02) 2918 (Complementar) 2919 (Complementar)	N/A	0	0	Atendimento Pesagem Guarda Piso Guarda Devolução Liberação e conclusão de Nf´s pendentes Carga de Dedutíveis na rua 08 (Carregamento previsto p/amanhã 19/08/25)  
TURNO 3	18/08/2025	Uilliam Oliveira	0	0	0	0	0	0	0	0	3	2	1 NO SHOW	10	1	11	0	4	4	4	2934	2917		2917 - 2918 - 2919 - 2921	0	7	1	Atendimento a complementares Atendimento a pendencias recebimento de paletes de dedutível  Atuação no campo transitórios Ajustes de tarefas pendentes Guarda devolução Guarda da qualidade 14 paletes Pacote 2934: rua 02 Pacote 2921: rua 06 Organização do piso     
TURNO 1	19/08/2025	Marcior	0	0	0	0	0	0	0	0	4	2	2	0	5	3	2 detergente 	3 com chamado 	10	10	2924	2921+2917	2934	2934+2936	2937 Hidro 	2	1	Guarda do piso  Movimentação dos paletes dedutíveis  Atendimento a pesagem waves anteriores  Atendimento a fabricação  Carregamento de 2 veículos de dedutíveis 54 paletes  Movimentação dos paletes da engenharia para descarte  Ajustes de tarefas pendentes Ajustes de recurso presos pesagem  
TURNO 2	19/08/2025	Daise Farias T_randstad	0	0	0	0	0	0	0	0	4	4	02 (Para ás 14:00 e 17:00)	0	31	24  (14 para embalar)	07 (Para lançar)	04 (Chamados abertos, aguardando retorno)	6	6	N/A			2924 Cremes 2937 Hidro (Rua 02)	2926 Cremes 2967 Cremes 2928 Cremes	0	0	Atendimento Pesagem Guarda Piso Guarda Devolução e Eclusa Liberação e conclusão de Nf´s pendentes Atendimento á Engenharia (Baixa de pallet teste) Atendimento guarda MP Manserv Limpesa geral da área Atualização de check list da área Carregamento de 24 IBC´s vazios da Oxiteno (Veiculo Placa JSS8G28 - NF.: 000097129)
TURNO 3	19/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	4	4	0	0	23	Lançadas 16 pendentes 6	0	4 chamado aberto	0	0	2927	2934	2926/2927	2926/2927	2928	0	0	Atendimento a pesagem Atendimento pendência do grupo 2934 Atendimento complementar Movimentação paletes para Eclusa Devolução Tratativa de Campo transitório Tratativa tarefa pendentes Guarda piso
TURNO 1	20/08/2025	Marcior	0	0	0	Coopercarga 	0	0	0	0	3	1 liberada 1	1	6	12	9	8	4 com chamado aberto 	8	8	2928	2927	2926	2927+2928 parcial 	0	0	0	Atendimento a pesagem  Aténdimento pendências gerais  Atendimento complementar  Guarda Devolução  Tratativas de tarefas pendentes e recursos  Descida de 18 paletes de granéis  Solicitação de 9 NF de ibc oxigênio 2 NF de ibcs BASF disponível 
TURNO 2	20/08/2025	Daise Farias T_randstad	0	0	0	0	0	0	0	0	3	2	01 - Maxsane (Detergente)	9	21	5	13 (Todas com TU´s  já lançadas)	03 Divergentes 	10	10	2952 Hidro (95% Separada - Concluir Pendência)		2926	2928 (Rua 02) 2927 (Rua 06) 	N/A			Atendimento a divergências Pesagem  Atendimento Complementares ( 2930/2941/2940/2953) Atendimento a Fabricação Devolução Embalamento  Lista de Treinamento para coletar assinaturas Porta da Eclusa foi colocada na nova entrada, ainda sem o botão de acesso pedestre externo, apenas com o sensor de maquinas. Conclusão do serviço p/amanhã.
TURNO 3	20/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	2	1	9	21	18	0	6 NFs com chamado	0	0	0	2926	2927	2928	0	0	0	Atendimento a pesagem Atendimento pendência Movimentação para Eclusa Paradão+laboral 40 minutos Guarda piso Devolução Lançamento notas Ativação de TU Tratativas de Tarefas em aberto   
TURNO 1	21/08/2025	Marcior	0	0	0	0	0	0	0	0	0	1 filme PVC 	0	0	0	5 de pendências 	1	4 com chamados abertos e sendo acompanhando 	5	5	2954	2952	2954	2954 parcial 	N/a	0	0	Guarda devolução  Guarda do piso  Tratamos NFS pendentes  Movimentamos paletes da engenharia para rua 8 Movimentamos 8 paletes de vencidos pararia 8 Tratamos pendências de waves anteriores  Atendimento a pesagem  Atendimento a fabricação  Movimentação de waves anteriores para a pesagem  
TURNO 2	21/08/2025	Daise Farias T_randstad	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	04 - NF´s chamados em aberto.	8	8	2948 Cremes 	2954 Cremes	2954 Cremes (Parcial) 2950 Hidro  (Parcial)	2950 Hidro (Rua 02) 2954 Cremes 2945 (Complementar)	2961 Cremes 2962 Cremes			Guarda Devolução e Piso; NF´s Pendentes tratadas e liberadas; Baixados 07 paletes de Dedutíveis, totalizando 184 itens, movimentados p/rua 08; Atendimento a divergências Pesagem; Atendimento Complementar; Tratamento MP (Campo Transitório); Atendimento a Qualidade;      
TURNO 3	21/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4 com chamado aberto	0	0	2961 75 posições separadas 41 pendentes	2948	2950	2948/2961	2962	0	0	Atendimento a pesagem Atendimento complementar Guarda de Devolução Guarda de piso Guarda de 14 paletes de dedutíveis ME- Rua 08 Separação de itens dedutíveis MP-Rua 08 Tratativa campo transitório
TURNO 1	22/08/2025	Marcior	0	0	0	0	0	0	0	0	3	2	1	0	29	0	29	3;com chamado aberto sendo acompanhado 	5	5	2662	2961	2962	2961	2968	0	0	Atuamos em devolução eclusa  Descemos 20 paletes de dedutível e carregamos 1 carreta  Carregamos uma carreta de ibc  Carreta das 08 atrasou ,gerando atraso no recebimento  Atuamos em tarefas pendentes  Fizemos um treinamento de consulta  com conferente da eclusa para não ficar com o recurso preso em coletor  Atuamos em NFS pendentes 
TURNO 2	22/08/2025	Edmars	0	0	0	0	0	0	0	0	3	3	0	29	6	19	0	3 NF com chamados abertos 	11	11	2975	2962	2968	2968 /2962	2976/2977/2979	0	0	Atendimento a ordens complementares; Atendimento a área terceiras; Realização da TAD; Retirada do consol; Guarda do piso.
TURNO 3	22/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	3	0	0	17	15	0	2 Para abrir Chamado 	0	0	2976 12 Separadas 89 Pendentes	Cremes 2962 	Creme 2975 Hidro 2979	2975/2979	2977	0	0	Atendimento a pesagem Atendimento de Wave complemantar Ativação TU 18 Nfs Lançamento NFs 15 Nfs Separação dedutível Devolução Movimentação para Eclusa Guarda piso Tad Super/ Treinamentos conferentes-1:00hs 
TURNO 1	23/08/2025	Bruno Raimundo	0	0	0	0	0	0	0	0	2	1	1	5	0	2	0	2 NFs transferência, data de validade inferir a 90 dias	0	0	2983	2968	2979	2975 / 	2977	0	0	Tratativas de notas fiscais pendentes Guarda de piso Movimentação de dedutíveis 
TURNO 2	23/08/2025	Edmars	0	0	0	0	0	0	0	0	3	2	1	3	0	1	0	4 NFs com chamados abertos 	8	8	2977	2976	2983	2983	899155347 (SJP) / 2994	0	0	Atendimento de ordens complementares; Atendimento de materiais não produtivos; Baixando de Dedutível; Atuando e devolução; Tratativa de Campos transitórios. 
TURNO 3	23/08/2025	Uilliam Oliveira	0	0	0	0	0	0	0	0	2	1			3	2	0	1 NF 607817 (Sem lote)	0	0	0	2976	2977-2994	2994	899155347/SJP	0	0	HC-2 Antecipação de veiculo agendado para 10hs - 24/08 Ativação de T.U Armazenamento de material de dedutível(M.E) 30 PALETES Guarda do piso Guarda da devolução   Atendimento a pesagem Atendimento a complementar Ajuste de tarefas pendentes  
TURNO 3	24/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	2	2	0	0	10	10	0	3 notas pendentes com chamado aberto	0	0	3004	CREME 3002/ HIDRO 2989	CREME 3003/ HIDRO 2989	3003/2929	0	0	0	Atendimento a pesagem Atendimento a pendência Ativação TU Guarda piso Guarda Devolução Armazenamento de material dedutível ME Organização da Rua 06 Movimentação de paletes para Eclusa DDS extraordinário devido a uma ocorrência no armazém novo- 15 minutos
TURNO 1	25/08/2025	Marcior	0	0	0	1 descarregando 	1 dedutível carregando 	0	0	0	3	2	1 descarregando 	0	2	0	5	ND pendentes ,com chamado ,sendo monitorados 	3	3	3004	3003	3003	3004	N/a	0	0	Baixamos 56 paletes de dedutível  Carregamos 1 e deixamos um sendo carregado  Atuamosnnas NF,s pendentes  Tamos no canoa transitório retiramos R$ 283.000,00 hoje  Deixamos paletes para serem movimentados de dedutível na rua 4 Baixamos matérias para envase de cremes Demos baixa em RIM , baixadas de entrega dos turnos anteriores  
TURNO 2	25/08/2025	Daise Farias T_randstad	0	0	0	0	0	0	0	0	3	2	01 -  ME	5	5	5	1	01 - P/Embalar 03 - Pendentes (Sem Lote)	8	8	3008 (60% concluída)		3004 Cremes	3004 Cremes 3008 Cremes (Rua 02) 3007 (Complementar)	3012 Hidro 3013 Complementar			Baixa e relocação dos pallets de dedutíveis (Final das ruas 05/04/03 e 02) e armazenado/posicionados material dedutível ME na rua 08; Tratativa de Campo transitório; Atendimento á Pesagem; Atuação em Devolução; Embalamento e Guarda; Atuação nas Notas Fiscais com pendências Atendimento de Pendencias em wave de turnos anteriores Carregamento de carga dedutível concluído Limpeza do armazém realizada  
TURNO 3	25/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	2	1	5	5	6	0	8 com chamado aberto para criação de lotes	0	0	0	3008	3008	Hidro 3012/ Cremes 3008	0	0	0	Atendimento a Pendencias grupo 3004 Atendimento complementar a pesagem Guarda piso Guarda paletes qualidade Baixa de 20 paletes de dedutíveis ME para Expedir Movimentação de MP da rua 06 Separação dedutíveis MP Movimentação de paletes do corredor para rua 6 Tratativa campo transitório Movimentação de paletes para Eclusa
TURNO 1	26/08/2025	Marcior	0	0	0	0	0	0	0	0	3	2	1 para 16:00	0	13	6	11	9 com chamados 	4	4	3009	3008	3009	3009 parcial 	3017 + 899155347 transferência 	0	0	Atendimento a pendência de waves anteriores  Atendimento complementares  Guarda do piso  Guarda devolução  Carregamento de um veículo dedutível  Tratativa de campo transitório Tratativa tarefas pendentes.
